,Average Run Time (milliseconds),Array Size,Algorithm
0,1,100,Bubble Sort
1,2.0,100,Bubble Sort
2,13.6,250,Bubble Sort
3,47.907,500,Bubble Sort
4,109.499,750,Bubble Sort
5,216.251,1000,Bubble Sort
6,812.677,2000,Bubble Sort
7,3060.277,4000,Bubble Sort
8,7085.86,6000,Bubble Sort
9,13386.06,8000,Bubble Sort
10,19811.271,10000,Bubble Sort
11,0.2,100,Quick Sort
12,0.8,250,Quick Sort
13,1.8,500,Quick Sort
14,3.3,750,Quick Sort
15,4.7,1000,Quick Sort
16,12.753,2000,Quick Sort
17,33.601,4000,Quick Sort
18,47.855,6000,Quick Sort
19,69.705,8000,Quick Sort
20,114.343,10000,Quick Sort
21,0.944,100,Count Sort
22,0.0,250,Count Sort
23,0.1,500,Count Sort
24,0.2,750,Count Sort
25,0.3,1000,Count Sort
26,0.3,2000,Count Sort
27,0.8,4000,Count Sort
28,1.003,6000,Count Sort
29,1.203,8000,Count Sort
30,1.697,10000,Count Sort
31,1.095,100,Insertion Sort
32,6.999,250,Insertion Sort
33,22.501,500,Insertion Sort
34,49.403,750,Insertion Sort
35,90.598,1000,Insertion Sort
36,349.791,2000,Insertion Sort
37,1518.165,4000,Insertion Sort
38,3241.985,6000,Insertion Sort
39,5265.193,8000,Insertion Sort
40,8265.862,10000,Insertion Sort
41,0.4,100,Timsort
42,1.3,250,Timsort
43,3.2,500,Timsort
44,5.3,750,Timsort
45,7.7,1000,Timsort
46,15.799,2000,Timsort
47,33.003,4000,Timsort
48,42.4,6000,Timsort
49,68.799,8000,Timsort
50,77.309,10000,Timsort
